iShares Russell 2000 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"299,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","116,096,557.28","0.16","116,096,557.28","2,524,936.00","45.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","115,997,069.86","0.16","115,997,069.86","1,498,283.00","77.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","115,594,252.41","0.16","115,594,252.41","7,229,159.00","15.99","United States","NASDAQ","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","115,579,980.55","0.16","115,579,980.55","3,071,485.00","37.63","United States","NASDAQ","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","115,087,882.14","0.16","115,087,882.14","976,894.00","117.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NPO","ENPRO INC","Industrials","Equity","115,043,161.68","0.16","115,043,161.68","524,808.00","219.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URBN","URBAN OUTFITTERS INC","Consumer Discretionary","Equity","114,848,748.04","0.16","114,848,748.04","1,524,406.00","75.34","United States","NASDAQ","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","114,578,581.44","0.16","114,578,581.44","1,935,776.00","59.19","United States","NASDAQ","USD","1.00","USD","-"
"LMND","LEMONADE INC","Financials","Equity","114,438,525.48","0.16","114,438,525.48","1,506,563.00","75.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","114,300,197.61","0.16","114,300,197.61","1,725,807.00","66.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","114,223,545.40","0.16","114,223,545.40","5,964,676.00","19.15","United States","NASDAQ","USD","1.00","USD","-"
"CNR","CORE NATURAL RESOURCES INC","Energy","Equity","113,998,048.55","0.16","113,998,048.55","1,268,195.00","89.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEU","CENTRUS ENERGY CORP CLASS A","Energy","Equity","113,998,740.00","0.16","113,998,740.00","418,344.00","272.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVCO","CAVCO INDUSTRIES INC","Consumer Discretionary","Equity","113,918,483.88","0.16","113,918,483.88","192,573.00","591.56","United States","NASDAQ","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","113,898,274.44","0.16","113,898,274.44","485,169.00","234.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","113,801,070.06","0.16","113,801,070.06","4,026,931.00","28.26","United States","NASDAQ","USD","1.00","USD","-"
"AROC","ARCHROCK INC","Energy","Equity","113,642,140.24","0.16","113,642,140.24","4,267,448.00","26.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","113,249,410.68","0.15","113,249,410.68","3,220,973.00","35.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","112,156,413.26","0.15","112,156,413.26","3,179,938.00","35.27","United States","NASDAQ","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","112,066,909.29","0.15","112,066,909.29","1,665,927.00","67.27","United States","NASDAQ","USD","1.00","USD","-"
